                  Time []               Interior []               Off Grid []                Initial []                 Change []
  0.0000000000000000E+000   1.6499999999999988E+000   0.0000000000000000E+000   1.6499999999999988E+000   0.0000000000000000E+000
  1.0206253699277339E-001   1.6502657926462503E+000  -2.7073577462444010E-016   1.6499999999999988E+000   2.6579264625170573E-004
