                  Time []               Interior []               Off Grid []                Initial []                 Change []
  0.0000000000000000E+000   5.6250000000000011E-001   0.0000000000000000E+000   5.6250000000000011E-001   0.0000000000000000E+000
  1.0206253699277339E-001   5.6231726762205492E-001  -6.4226750517402889E-017   5.6250000000000011E-001  -1.8273237794508290E-004
