   R [km]      D [g/ccm]   T [mev]     Y        
   3.160E+01   2.369E+12   9.437E+00   1.208E-01
   3.249E+01   2.062E+12   9.078E+00   1.216E-01
   3.341E+01   1.793E+12   8.727E+00   1.222E-01
   3.436E+01   1.558E+12   8.386E+00   1.228E-01
   3.534E+01   1.351E+12   8.054E+00   1.234E-01
   3.634E+01   1.170E+12   7.730E+00   1.241E-01
   3.737E+01   1.012E+12   7.416E+00   1.248E-01
   3.843E+01   8.735E+11   7.115E+00   1.255E-01
   3.952E+01   7.518E+11   6.827E+00   1.265E-01
   4.065E+01   6.456E+11   6.551E+00   1.277E-01
   4.180E+01   5.529E+11   6.291E+00   1.292E-01
   4.298E+01   4.722E+11   6.046E+00   1.309E-01
   4.420E+01   4.020E+11   5.816E+00   1.332E-01
   4.546E+01   3.415E+11   5.601E+00   1.357E-01
   4.675E+01   2.893E+11   5.402E+00   1.388E-01
   4.808E+01   2.445E+11   5.215E+00   1.425E-01
   4.944E+01   2.063E+11   5.044E+00   1.465E-01
   5.084E+01   1.737E+11   4.886E+00   1.512E-01
   5.228E+01   1.462E+11   4.740E+00   1.565E-01
   5.377E+01   1.229E+11   4.607E+00   1.624E-01
   5.529E+01   1.032E+11   4.484E+00   1.689E-01
   5.686E+01   8.676E+10   4.371E+00   1.761E-01
   5.848E+01   7.293E+10   4.269E+00   1.838E-01
   6.014E+01   6.135E+10   4.176E+00   1.924E-01
   6.184E+01   5.168E+10   4.089E+00   2.013E-01
   6.360E+01   4.356E+10   4.010E+00   2.110E-01
   6.540E+01   3.684E+10   3.937E+00   2.211E-01
   6.726E+01   3.120E+10   3.870E+00   2.316E-01
   6.917E+01   2.652E+10   3.806E+00   2.426E-01
   7.113E+01   2.265E+10   3.742E+00   2.533E-01
   7.315E+01   1.944E+10   3.681E+00   2.639E-01
   7.522E+01   1.677E+10   3.616E+00   2.740E-01
   7.736E+01   1.457E+10   3.543E+00   2.830E-01
   7.955E+01   1.276E+10   3.469E+00   2.912E-01
   8.181E+01   1.129E+10   3.389E+00   2.982E-01
   8.413E+01   1.001E+10   3.296E+00   3.046E-01
   8.652E+01   8.978E+09   3.204E+00   3.105E-01
   8.897E+01   8.127E+09   3.103E+00   3.163E-01
   9.150E+01   7.387E+09   2.990E+00   3.229E-01
   9.409E+01   6.765E+09   2.875E+00   3.314E-01
   9.676E+01   6.197E+09   2.759E+00   3.422E-01
   9.951E+01   5.668E+09   2.639E+00   3.559E-01
   1.023E+02   5.200E+09   2.522E+00   3.709E-01
   1.052E+02   4.759E+09   2.400E+00   3.878E-01
   1.082E+02   4.381E+09   2.273E+00   4.045E-01
   1.113E+02   4.030E+09   2.135E+00   4.221E-01
   1.145E+02   3.711E+09   1.990E+00   4.379E-01
   1.177E+02   3.430E+09   1.831E+00   4.539E-01
   1.210E+02   3.094E+09   1.688E+00   4.663E-01
   1.245E+02   2.856E+09   1.562E+00   4.785E-01
   1.280E+02   2.338E+09   1.484E+00   4.855E-01
   1.316E+02   1.995E+09   1.400E+00   4.919E-01
   1.354E+02   1.321E+09   1.282E+00   4.937E-01
   1.392E+02   3.512E+08   9.807E-01   4.941E-01
   1.432E+02   1.933E+08   7.623E-01   4.941E-01
   1.472E+02   1.744E+08   6.721E-01   4.945E-01
   1.514E+02   1.636E+08   6.507E-01   4.946E-01
   1.557E+02   1.604E+08   6.431E-01   4.948E-01
   1.601E+02   1.536E+08   6.282E-01   4.949E-01
   1.647E+02   1.506E+08   6.204E-01   4.951E-01
   1.693E+02   1.442E+08   6.042E-01   4.951E-01
   1.741E+02   1.411E+08   5.993E-01   4.953E-01
   1.791E+02   1.346E+08   5.899E-01   4.954E-01
   1.842E+02   1.312E+08   5.874E-01   4.956E-01
   1.894E+02   1.242E+08   5.794E-01   4.957E-01
   1.948E+02   1.202E+08   5.710E-01   4.959E-01
   2.003E+02   1.134E+08   5.662E-01   4.960E-01
   2.060E+02   1.097E+08   5.631E-01   4.962E-01
   2.118E+02   1.023E+08   5.572E-01   4.964E-01
   2.178E+02   9.716E+07   5.518E-01   4.966E-01
   2.240E+02   9.076E+07   5.441E-01   4.967E-01
   2.304E+02   8.877E+07   5.385E-01   4.968E-01
   2.369E+02   8.620E+07   5.316E-01   4.969E-01
   2.436E+02   8.492E+07   5.290E-01   4.970E-01
   2.505E+02   8.096E+07   5.249E-01   4.971E-01
   2.576E+02   7.514E+07   5.202E-01   4.973E-01
   2.650E+02   7.019E+07   5.125E-01   4.974E-01
   2.725E+02   6.926E+07   5.070E-01   4.975E-01
   2.802E+02   6.905E+07   5.004E-01   4.975E-01
   2.882E+02   6.937E+07   4.960E-01   4.976E-01
   2.963E+02   6.541E+07   4.887E-01   4.977E-01
   3.048E+02   5.932E+07   4.995E-01   4.979E-01
   3.134E+02   5.869E+07   5.715E-01   4.980E-01
   3.223E+02   5.941E+07   4.823E-01   4.980E-01
   3.314E+02   5.681E+07   5.797E-01   4.980E-01
   3.408E+02   5.282E+07   5.716E-01   4.980E-01
   3.505E+02   5.216E+07   5.664E-01   4.980E-01
   3.604E+02   5.075E+07   5.493E-01   4.980E-01
   3.707E+02   4.752E+07   5.529E-01   4.980E-01
   3.812E+02   4.522E+07   5.460E-01   4.980E-01
   3.919E+02   4.398E+07   5.432E-01   4.980E-01
   4.028E+02   4.133E+07   5.312E-01   4.980E-01
   4.138E+02   3.994E+07   5.260E-01   4.980E-01
   4.249E+02   3.936E+07   5.144E-01   4.980E-01
   4.362E+02   3.785E+07   5.068E-01   4.980E-01
   4.476E+02   3.679E+07   5.015E-01   4.980E-01
   4.592E+02   3.482E+07   4.949E-01   4.980E-01
   4.709E+02   3.426E+07   4.909E-01   4.980E-01
   4.828E+02   3.288E+07   4.824E-01   4.980E-01
   4.948E+02   3.092E+07   4.866E-01   4.980E-01
   5.069E+02   3.014E+07   4.742E-01   4.980E-01
   5.192E+02   2.931E+07   4.692E-01   4.980E-01
   5.317E+02   2.861E+07   4.650E-01   4.980E-01
   5.443E+02   2.727E+07   4.582E-01   4.980E-01
   5.571E+02   2.695E+07   4.538E-01   4.980E-01
   5.700E+02   2.643E+07   4.414E-01   4.980E-01
   5.831E+02   2.526E+07   4.422E-01   4.980E-01
   5.963E+02   2.435E+07   4.392E-01   4.980E-01
   6.098E+02   2.310E+07   4.357E-01   4.980E-01
   6.233E+02   2.283E+07   4.327E-01   4.980E-01
   6.371E+02   2.224E+07   4.235E-01   4.980E-01
   6.510E+02   2.120E+07   4.251E-01   4.980E-01
   6.651E+02   2.086E+07   4.147E-01   4.980E-01
   6.794E+02   2.037E+07   4.119E-01   4.980E-01
   6.939E+02   2.020E+07   4.087E-01   4.980E-01
   7.085E+02   1.933E+07   4.028E-01   4.980E-01
   7.233E+02   1.856E+07   4.001E-01   4.980E-01
   7.383E+02   1.826E+07   3.991E-01   4.980E-01
   7.535E+02   1.763E+07   3.959E-01   4.980E-01
   7.689E+02   1.723E+07   3.904E-01   4.980E-01
   7.845E+02   1.692E+07   3.859E-01   4.980E-01
   8.003E+02   1.653E+07   3.824E-01   4.980E-01
   8.162E+02   1.573E+07   3.801E-01   4.980E-01
   8.324E+02   1.506E+07   3.780E-01   4.980E-01
   8.488E+02   1.479E+07   3.717E-01   4.980E-01
   8.654E+02   1.440E+07   3.660E-01   4.980E-01
   8.821E+02   1.412E+07   3.635E-01   4.980E-01
   8.991E+02   1.344E+07   3.608E-01   4.980E-01
   9.163E+02   1.319E+07   3.603E-01   4.980E-01
   9.338E+02   1.294E+07   3.567E-01   4.980E-01
   9.514E+02   1.244E+07   3.576E-01   4.980E-01
   9.692E+02   1.218E+07   3.570E-01   4.980E-01
   9.873E+02   1.184E+07   3.544E-01   4.980E-01
   1.006E+03   1.182E+07   3.537E-01   4.980E-01
   1.024E+03   1.252E+07   3.467E-01   4.981E-01
   1.043E+03   1.309E+07   3.542E-01   4.983E-01
   1.062E+03   1.299E+07   3.604E-01   4.985E-01
   1.081E+03   1.724E+07   4.074E-01   4.989E-01
   1.101E+03   1.434E+07   3.522E-01   4.993E-01
   1.120E+03   9.403E+06   3.527E-01   5.000E-01
   1.140E+03   6.591E+06   3.265E-01   5.000E-01
   1.161E+03   5.569E+06   3.288E-01   5.000E-01
   1.181E+03   5.298E+06   3.321E-01   5.000E-01
   1.202E+03   5.160E+06   3.281E-01   5.000E-01
   1.223E+03   4.906E+06   3.296E-01   5.000E-01
   1.244E+03   4.558E+06   3.278E-01   5.000E-01
   1.266E+03   4.484E+06   3.267E-01   5.000E-01
   1.287E+03   4.452E+06   3.245E-01   5.000E-01
   1.309E+03   4.349E+06   3.218E-01   5.000E-01
   1.332E+03   4.336E+06   3.207E-01   5.000E-01
   1.354E+03   4.213E+06   3.187E-01   5.000E-01
   1.377E+03   4.119E+06   3.182E-01   5.000E-01
   1.400E+03   4.014E+06   3.158E-01   5.000E-01
   1.424E+03   3.981E+06   3.144E-01   5.000E-01
   1.448E+03   3.898E+06   3.109E-01   5.000E-01
   1.472E+03   3.792E+06   3.098E-01   5.000E-01
   1.496E+03   3.743E+06   3.070E-01   5.000E-01
   1.521E+03   3.596E+06   3.067E-01   5.000E-01
   1.546E+03   3.560E+06   3.033E-01   5.000E-01
   1.571E+03   3.490E+06   3.026E-01   5.000E-01
   1.596E+03   3.472E+06   3.003E-01   5.000E-01
   1.622E+03   3.372E+06   2.985E-01   5.000E-01
   1.649E+03   3.302E+06   2.963E-01   5.000E-01
   1.675E+03   3.234E+06   2.938E-01   5.000E-01
   1.702E+03   3.213E+06   2.923E-01   5.000E-01
   1.729E+03   3.136E+06   2.894E-01   5.000E-01
   1.757E+03   3.083E+06   2.884E-01   5.000E-01
   1.785E+03   3.064E+06   2.846E-01   5.000E-01
   1.813E+03   2.973E+06   2.842E-01   5.000E-01
   1.842E+03   2.902E+06   2.819E-01   5.000E-01
   1.871E+03   2.888E+06   2.809E-01   5.000E-01
   1.900E+03   2.852E+06   2.780E-01   5.000E-01
   1.930E+03   2.752E+06   2.776E-01   5.000E-01
   1.960E+03   2.713E+06   2.730E-01   5.000E-01
   1.990E+03   2.583E+06   2.727E-01   5.000E-01
   2.021E+03   2.546E+06   2.677E-01   5.000E-01
   2.052E+03   2.453E+06   2.672E-01   5.000E-01
   2.084E+03   2.417E+06   2.632E-01   5.000E-01
   2.116E+03   2.334E+06   2.629E-01   5.000E-01
   2.148E+03   2.318E+06   2.593E-01   5.000E-01
   2.181E+03   2.247E+06   2.589E-01   5.000E-01
   2.215E+03   2.197E+06   2.557E-01   5.000E-01
   2.248E+03   2.144E+06   2.539E-01   5.000E-01
   2.282E+03   2.092E+06   2.516E-01   5.000E-01
   2.317E+03   2.050E+06   2.501E-01   5.000E-01
   2.352E+03   2.006E+06   2.481E-01   5.000E-01
   2.387E+03   1.957E+06   2.463E-01   5.000E-01
   2.423E+03   1.912E+06   2.446E-01   5.000E-01
   2.459E+03   1.854E+06   2.424E-01   5.000E-01
   2.496E+03   1.825E+06   2.410E-01   5.000E-01
