   R [km]      D [g/ccm]   T [mev]     Y        
   1.167E-01   3.822E+14   1.287E+01   2.660E-01
   3.500E-01   3.788E+14   1.359E+01   2.775E-01
   5.833E-01   3.787E+14   1.336E+01   2.784E-01
   9.272E-01   3.772E+14   1.326E+01   2.774E-01
   1.302E+00   3.750E+14   1.310E+01   2.774E-01
   1.545E+00   3.730E+14   1.304E+01   2.776E-01
   1.703E+00   3.717E+14   1.299E+01   2.775E-01
   1.806E+00   3.707E+14   1.297E+01   2.775E-01
   1.872E+00   3.700E+14   1.295E+01   2.775E-01
   1.925E+00   3.695E+14   1.293E+01   2.774E-01
   1.980E+00   3.689E+14   1.292E+01   2.774E-01
   2.036E+00   3.683E+14   1.290E+01   2.774E-01
   2.094E+00   3.676E+14   1.288E+01   2.773E-01
   2.153E+00   3.669E+14   1.287E+01   2.773E-01
   2.214E+00   3.662E+14   1.285E+01   2.773E-01
   2.277E+00   3.654E+14   1.282E+01   2.772E-01
   2.342E+00   3.646E+14   1.280E+01   2.772E-01
   2.408E+00   3.637E+14   1.277E+01   2.771E-01
   2.476E+00   3.628E+14   1.275E+01   2.771E-01
   2.547E+00   3.618E+14   1.272E+01   2.770E-01
   2.619E+00   3.608E+14   1.269E+01   2.769E-01
   2.693E+00   3.597E+14   1.266E+01   2.769E-01
   2.770E+00   3.586E+14   1.263E+01   2.768E-01
   2.848E+00   3.574E+14   1.259E+01   2.767E-01
   2.929E+00   3.561E+14   1.255E+01   2.767E-01
   3.012E+00   3.548E+14   1.251E+01   2.766E-01
   3.098E+00   3.534E+14   1.246E+01   2.765E-01
   3.186E+00   3.520E+14   1.240E+01   2.763E-01
   3.276E+00   3.504E+14   1.232E+01   2.762E-01
   3.369E+00   3.488E+14   1.224E+01   2.761E-01
   3.465E+00   3.471E+14   1.218E+01   2.759E-01
   3.563E+00   3.452E+14   1.214E+01   2.758E-01
   3.664E+00   3.431E+14   1.212E+01   2.757E-01
   3.768E+00   3.409E+14   1.211E+01   2.757E-01
   3.875E+00   3.386E+14   1.209E+01   2.756E-01
   3.985E+00   3.361E+14   1.206E+01   2.754E-01
   4.098E+00   3.336E+14   1.202E+01   2.753E-01
   4.214E+00   3.308E+14   1.198E+01   2.752E-01
   4.334E+00   3.280E+14   1.192E+01   2.751E-01
   4.457E+00   3.250E+14   1.186E+01   2.749E-01
   4.583E+00   3.218E+14   1.179E+01   2.748E-01
   4.713E+00   3.184E+14   1.172E+01   2.747E-01
   4.847E+00   3.149E+14   1.165E+01   2.745E-01
   4.984E+00   3.112E+14   1.158E+01   2.744E-01
   5.126E+00   3.072E+14   1.151E+01   2.742E-01
   5.271E+00   3.030E+14   1.143E+01   2.740E-01
   5.421E+00   2.986E+14   1.136E+01   2.739E-01
   5.575E+00   2.940E+14   1.125E+01   2.737E-01
   5.733E+00   2.890E+14   1.115E+01   2.736E-01
   5.896E+00   2.836E+14   1.110E+01   2.735E-01
   6.063E+00   2.781E+14   1.101E+01   2.734E-01
   6.235E+00   2.721E+14   1.097E+01   2.733E-01
   6.412E+00   2.658E+14   1.086E+01   2.732E-01
   6.594E+00   2.594E+14   1.071E+01   2.731E-01
   6.781E+00   2.528E+14   1.054E+01   2.727E-01
   6.973E+00   2.452E+14   1.052E+01   2.729E-01
   7.171E+00   2.378E+14   1.031E+01   2.726E-01
   7.375E+00   2.294E+14   1.026E+01   2.727E-01
   7.584E+00   2.212E+14   1.007E+01   2.724E-01
   7.799E+00   2.114E+14   1.008E+01   2.725E-01
   8.021E+00   2.013E+14   1.012E+01   2.727E-01
   8.248E+00   1.906E+14   1.012E+01   2.725E-01
   8.482E+00   1.784E+14   1.036E+01   2.728E-01
   8.723E+00   1.663E+14   1.047E+01   2.726E-01
   8.970E+00   1.534E+14   1.067E+01   2.717E-01
   9.225E+00   1.389E+14   1.104E+01   2.726E-01
   9.487E+00   1.250E+14   1.129E+01   2.725E-01
   9.756E+00   1.099E+14   1.168E+01   2.742E-01
   1.003E+01   9.467E+13   1.210E+01   2.776E-01
   1.032E+01   8.039E+13   1.260E+01   2.808E-01
   1.061E+01   6.736E+13   1.311E+01   2.858E-01
   1.091E+01   5.667E+13   1.352E+01   2.908E-01
   1.122E+01   4.876E+13   1.378E+01   2.917E-01
   1.154E+01   4.249E+13   1.396E+01   2.903E-01
   1.187E+01   3.713E+13   1.410E+01   2.889E-01
   1.220E+01   3.254E+13   1.421E+01   2.877E-01
   1.255E+01   2.852E+13   1.431E+01   2.875E-01
   1.291E+01   2.508E+13   1.438E+01   2.876E-01
   1.327E+01   2.213E+13   1.443E+01   2.880E-01
   1.365E+01   1.962E+13   1.446E+01   2.885E-01
   1.404E+01   1.746E+13   1.445E+01   2.893E-01
   1.443E+01   1.560E+13   1.442E+01   2.902E-01
   1.484E+01   1.400E+13   1.436E+01   2.911E-01
   1.527E+01   1.261E+13   1.427E+01   2.922E-01
   1.570E+01   1.141E+13   1.416E+01   2.932E-01
   1.614E+01   1.036E+13   1.402E+01   2.941E-01
   1.660E+01   9.444E+12   1.386E+01   2.949E-01
   1.707E+01   8.641E+12   1.367E+01   2.953E-01
   1.756E+01   7.934E+12   1.346E+01   2.954E-01
   1.805E+01   7.306E+12   1.324E+01   2.950E-01
   1.857E+01   6.747E+12   1.300E+01   2.942E-01
   1.909E+01   6.248E+12   1.276E+01   2.928E-01
   1.964E+01   5.798E+12   1.251E+01   2.908E-01
   2.019E+01   5.389E+12   1.225E+01   2.885E-01
   2.077E+01   5.017E+12   1.199E+01   2.854E-01
   2.136E+01   4.674E+12   1.173E+01   2.819E-01
   2.196E+01   4.358E+12   1.147E+01   2.781E-01
   2.259E+01   4.064E+12   1.122E+01   2.738E-01
   2.323E+01   3.788E+12   1.098E+01   2.693E-01
   2.389E+01   3.531E+12   1.074E+01   2.645E-01
   2.456E+01   3.289E+12   1.051E+01   2.595E-01
   2.526E+01   3.062E+12   1.029E+01   2.544E-01
   2.598E+01   2.849E+12   1.007E+01   2.492E-01
   2.671E+01   2.647E+12   9.857E+00   2.441E-01
   2.747E+01   2.457E+12   9.650E+00   2.391E-01
   2.825E+01   2.278E+12   9.451E+00   2.341E-01
   2.905E+01   2.109E+12   9.253E+00   2.295E-01
   2.988E+01   1.951E+12   9.060E+00   2.250E-01
   3.073E+01   1.802E+12   8.873E+00   2.207E-01
   3.160E+01   1.663E+12   8.687E+00   2.169E-01
   3.249E+01   1.533E+12   8.506E+00   2.131E-01
   3.341E+01   1.412E+12   8.327E+00   2.098E-01
   3.436E+01   1.299E+12   8.149E+00   2.067E-01
   3.534E+01   1.194E+12   7.977E+00   2.038E-01
   3.634E+01   1.097E+12   7.803E+00   2.012E-01
   3.737E+01   1.008E+12   7.631E+00   1.986E-01
   3.843E+01   9.258E+11   7.462E+00   1.962E-01
   3.952E+01   8.507E+11   7.290E+00   1.940E-01
   4.065E+01   7.816E+11   7.120E+00   1.917E-01
   4.180E+01   7.179E+11   6.946E+00   1.895E-01
   4.298E+01   6.595E+11   6.774E+00   1.873E-01
   4.420E+01   6.054E+11   6.599E+00   1.852E-01
   4.546E+01   5.562E+11   6.423E+00   1.829E-01
   4.675E+01   5.105E+11   6.244E+00   1.808E-01
   4.808E+01   4.691E+11   6.062E+00   1.783E-01
   4.944E+01   4.311E+11   5.879E+00   1.758E-01
   5.084E+01   3.971E+11   5.693E+00   1.728E-01
   5.228E+01   3.658E+11   5.503E+00   1.698E-01
   5.377E+01   3.374E+11   5.301E+00   1.662E-01
   5.529E+01   3.116E+11   5.093E+00   1.620E-01
   5.686E+01   2.883E+11   4.866E+00   1.572E-01
   5.848E+01   2.672E+11   4.616E+00   1.518E-01
   6.014E+01   2.495E+11   4.334E+00   1.454E-01
