   R [km]      D [g/ccm]   T [mev]     Y        
   1.167E-01   5.070E+14   1.414E+01   2.680E-01
   3.500E-01   5.015E+14   1.595E+01   2.843E-01
   5.833E-01   5.003E+14   1.603E+01   2.859E-01
   9.272E-01   4.985E+14   1.595E+01   2.833E-01
   1.302E+00   4.963E+14   1.560E+01   2.815E-01
   1.545E+00   4.941E+14   1.543E+01   2.812E-01
   1.703E+00   4.923E+14   1.535E+01   2.811E-01
   1.806E+00   4.911E+14   1.530E+01   2.810E-01
   1.872E+00   4.903E+14   1.527E+01   2.809E-01
   1.925E+00   4.896E+14   1.525E+01   2.809E-01
   1.980E+00   4.888E+14   1.522E+01   2.808E-01
   2.036E+00   4.880E+14   1.520E+01   2.807E-01
   2.094E+00   4.872E+14   1.517E+01   2.807E-01
   2.153E+00   4.863E+14   1.514E+01   2.806E-01
   2.214E+00   4.854E+14   1.512E+01   2.805E-01
   2.277E+00   4.844E+14   1.509E+01   2.804E-01
   2.342E+00   4.834E+14   1.505E+01   2.803E-01
   2.408E+00   4.823E+14   1.502E+01   2.802E-01
   2.476E+00   4.811E+14   1.499E+01   2.801E-01
   2.547E+00   4.799E+14   1.495E+01   2.800E-01
   2.619E+00   4.786E+14   1.492E+01   2.799E-01
   2.693E+00   4.772E+14   1.488E+01   2.797E-01
   2.770E+00   4.757E+14   1.484E+01   2.796E-01
   2.848E+00   4.742E+14   1.480E+01   2.795E-01
   2.929E+00   4.725E+14   1.476E+01   2.793E-01
   3.012E+00   4.708E+14   1.472E+01   2.791E-01
   3.098E+00   4.690E+14   1.468E+01   2.789E-01
   3.186E+00   4.670E+14   1.464E+01   2.787E-01
   3.276E+00   4.649E+14   1.460E+01   2.785E-01
   3.369E+00   4.627E+14   1.457E+01   2.783E-01
   3.465E+00   4.604E+14   1.453E+01   2.781E-01
   3.563E+00   4.579E+14   1.449E+01   2.778E-01
   3.664E+00   4.553E+14   1.446E+01   2.775E-01
   3.768E+00   4.526E+14   1.443E+01   2.772E-01
   3.875E+00   4.496E+14   1.440E+01   2.768E-01
   3.985E+00   4.466E+14   1.436E+01   2.765E-01
   4.098E+00   4.433E+14   1.430E+01   2.761E-01
   4.214E+00   4.399E+14   1.424E+01   2.757E-01
   4.334E+00   4.362E+14   1.418E+01   2.753E-01
   4.457E+00   4.324E+14   1.412E+01   2.748E-01
   4.583E+00   4.284E+14   1.407E+01   2.742E-01
   4.713E+00   4.241E+14   1.401E+01   2.737E-01
   4.847E+00   4.195E+14   1.396E+01   2.730E-01
   4.984E+00   4.148E+14   1.391E+01   2.723E-01
   5.126E+00   4.097E+14   1.387E+01   2.716E-01
   5.271E+00   4.043E+14   1.382E+01   2.708E-01
   5.421E+00   3.986E+14   1.376E+01   2.700E-01
   5.575E+00   3.926E+14   1.369E+01   2.691E-01
   5.733E+00   3.862E+14   1.364E+01   2.681E-01
   5.896E+00   3.795E+14   1.361E+01   2.671E-01
   6.063E+00   3.723E+14   1.361E+01   2.660E-01
   6.235E+00   3.646E+14   1.365E+01   2.648E-01
   6.412E+00   3.563E+14   1.370E+01   2.636E-01
   6.594E+00   3.474E+14   1.382E+01   2.624E-01
   6.781E+00   3.378E+14   1.406E+01   2.611E-01
   6.973E+00   3.271E+14   1.440E+01   2.599E-01
   7.171E+00   3.155E+14   1.487E+01   2.588E-01
   7.375E+00   3.027E+14   1.552E+01   2.578E-01
   7.584E+00   2.884E+14   1.635E+01   2.571E-01
   7.799E+00   2.726E+14   1.743E+01   2.569E-01
   8.021E+00   2.547E+14   1.875E+01   2.573E-01
   8.248E+00   2.348E+14   2.035E+01   2.588E-01
   8.482E+00   2.132E+14   2.218E+01   2.613E-01
   8.723E+00   1.905E+14   2.416E+01   2.652E-01
   8.970E+00   1.677E+14   2.617E+01   2.700E-01
   9.225E+00   1.462E+14   2.805E+01   2.758E-01
   9.487E+00   1.272E+14   2.971E+01   2.813E-01
   9.756E+00   1.112E+14   3.107E+01   2.859E-01
   1.003E+01   9.798E+13   3.216E+01   2.887E-01
   1.032E+01   8.755E+13   3.291E+01   2.886E-01
   1.061E+01   7.909E+13   3.340E+01   2.864E-01
   1.091E+01   7.184E+13   3.374E+01   2.837E-01
   1.122E+01   6.581E+13   3.390E+01   2.793E-01
   1.154E+01   6.079E+13   3.388E+01   2.733E-01
   1.187E+01   5.652E+13   3.372E+01   2.660E-01
   1.220E+01   5.285E+13   3.342E+01   2.579E-01
   1.255E+01   4.963E+13   3.302E+01   2.492E-01
   1.291E+01   4.676E+13   3.252E+01   2.403E-01
   1.327E+01   4.415E+13   3.192E+01   2.313E-01
   1.365E+01   4.177E+13   3.126E+01   2.224E-01
   1.404E+01   3.953E+13   3.054E+01   2.137E-01
   1.443E+01   3.742E+13   2.976E+01   2.054E-01
   1.484E+01   3.542E+13   2.895E+01   1.973E-01
   1.527E+01   3.348E+13   2.810E+01   1.897E-01
   1.570E+01   3.162E+13   2.722E+01   1.823E-01
   1.614E+01   2.980E+13   2.632E+01   1.754E-01
   1.660E+01   2.802E+13   2.539E+01   1.688E-01
   1.707E+01   2.629E+13   2.446E+01   1.625E-01
   1.756E+01   2.459E+13   2.351E+01   1.566E-01
   1.805E+01   2.292E+13   2.256E+01   1.509E-01
   1.857E+01   2.130E+13   2.160E+01   1.454E-01
   1.909E+01   1.971E+13   2.064E+01   1.402E-01
   1.964E+01   1.816E+13   1.968E+01   1.351E-01
   2.019E+01   1.665E+13   1.872E+01   1.304E-01
   2.077E+01   1.519E+13   1.777E+01   1.257E-01
   2.136E+01   1.378E+13   1.684E+01   1.212E-01
   2.196E+01   1.241E+13   1.592E+01   1.171E-01
   2.259E+01   1.110E+13   1.503E+01   1.131E-01
