   R [km]      D [g/ccm]   T [mev]     Y        
   1.167E-01   5.968E+14   1.581E+01   2.729E-01
   3.500E-01   5.914E+14   1.781E+01   2.896E-01
   5.833E-01   5.898E+14   1.798E+01   2.926E-01
   9.272E-01   5.874E+14   1.793E+01   2.886E-01
   1.302E+00   5.849E+14   1.741E+01   2.880E-01
   1.545E+00   5.814E+14   1.758E+01   2.877E-01
   1.703E+00   5.800E+14   1.729E+01   2.859E-01
   1.806E+00   5.786E+14   1.719E+01   2.859E-01
   1.872E+00   5.775E+14   1.718E+01   2.861E-01
   1.925E+00   5.766E+14   1.720E+01   2.861E-01
   1.980E+00   5.755E+14   1.723E+01   2.863E-01
   2.036E+00   5.744E+14   1.728E+01   2.863E-01
   2.094E+00   5.732E+14   1.735E+01   2.866E-01
   2.153E+00   5.719E+14   1.741E+01   2.865E-01
   2.214E+00   5.707E+14   1.742E+01   2.860E-01
   2.277E+00   5.696E+14   1.742E+01   2.855E-01
   2.342E+00   5.684E+14   1.740E+01   2.850E-01
   2.408E+00   5.671E+14   1.738E+01   2.844E-01
   2.476E+00   5.657E+14   1.735E+01   2.839E-01
   2.547E+00   5.643E+14   1.732E+01   2.834E-01
   2.619E+00   5.628E+14   1.727E+01   2.828E-01
   2.693E+00   5.613E+14   1.722E+01   2.822E-01
   2.770E+00   5.596E+14   1.716E+01   2.816E-01
   2.848E+00   5.579E+14   1.710E+01   2.810E-01
   2.929E+00   5.561E+14   1.702E+01   2.804E-01
   3.012E+00   5.542E+14   1.694E+01   2.798E-01
   3.098E+00   5.522E+14   1.684E+01   2.791E-01
   3.186E+00   5.501E+14   1.674E+01   2.784E-01
   3.276E+00   5.478E+14   1.662E+01   2.778E-01
   3.369E+00   5.456E+14   1.648E+01   2.769E-01
   3.465E+00   5.432E+14   1.631E+01   2.762E-01
   3.563E+00   5.406E+14   1.614E+01   2.754E-01
   3.664E+00   5.376E+14   1.600E+01   2.755E-01
   3.768E+00   5.343E+14   1.596E+01   2.760E-01
   3.875E+00   5.308E+14   1.591E+01   2.760E-01
   3.985E+00   5.272E+14   1.586E+01   2.758E-01
   4.098E+00   5.233E+14   1.582E+01   2.755E-01
   4.214E+00   5.192E+14   1.577E+01   2.751E-01
   4.334E+00   5.149E+14   1.573E+01   2.745E-01
   4.457E+00   5.104E+14   1.570E+01   2.739E-01
   4.583E+00   5.056E+14   1.566E+01   2.732E-01
   4.713E+00   5.005E+14   1.563E+01   2.725E-01
   4.847E+00   4.951E+14   1.562E+01   2.716E-01
   4.984E+00   4.894E+14   1.557E+01   2.708E-01
   5.126E+00   4.833E+14   1.553E+01   2.699E-01
   5.271E+00   4.769E+14   1.550E+01   2.690E-01
   5.421E+00   4.700E+14   1.551E+01   2.680E-01
   5.575E+00   4.628E+14   1.555E+01   2.670E-01
   5.733E+00   4.549E+14   1.565E+01   2.659E-01
   5.896E+00   4.465E+14   1.581E+01   2.648E-01
   6.063E+00   4.374E+14   1.600E+01   2.638E-01
   6.235E+00   4.276E+14   1.631E+01   2.628E-01
   6.412E+00   4.168E+14   1.678E+01   2.618E-01
   6.594E+00   4.049E+14   1.745E+01   2.610E-01
   6.781E+00   3.916E+14   1.829E+01   2.605E-01
   6.973E+00   3.768E+14   1.941E+01   2.603E-01
   7.171E+00   3.600E+14   2.089E+01   2.605E-01
   7.375E+00   3.410E+14   2.271E+01   2.613E-01
   7.584E+00   3.197E+14   2.493E+01   2.626E-01
   7.799E+00   2.962E+14   2.749E+01   2.645E-01
   8.021E+00   2.713E+14   3.023E+01   2.667E-01
   8.248E+00   2.458E+14   3.301E+01   2.689E-01
   8.482E+00   2.212E+14   3.560E+01   2.708E-01
   8.723E+00   1.985E+14   3.785E+01   2.723E-01
   8.970E+00   1.782E+14   3.970E+01   2.730E-01
   9.225E+00   1.606E+14   4.112E+01   2.728E-01
   9.487E+00   1.454E+14   4.215E+01   2.719E-01
   9.756E+00   1.324E+14   4.284E+01   2.699E-01
   1.003E+01   1.213E+14   4.322E+01   2.669E-01
   1.032E+01   1.117E+14   4.334E+01   2.630E-01
   1.061E+01   1.035E+14   4.324E+01   2.578E-01
   1.091E+01   9.666E+13   4.287E+01   2.511E-01
   1.122E+01   9.048E+13   4.238E+01   2.442E-01
   1.154E+01   8.489E+13   4.176E+01   2.369E-01
   1.187E+01   7.999E+13   4.099E+01   2.288E-01
   1.220E+01   7.554E+13   4.011E+01   2.206E-01
   1.255E+01   7.150E+13   3.911E+01   2.121E-01
   1.291E+01   6.776E+13   3.802E+01   2.036E-01
   1.327E+01   6.421E+13   3.685E+01   1.952E-01
   1.365E+01   6.080E+13   3.562E+01   1.873E-01
   1.403E+01   5.756E+13   3.436E+01   1.796E-01
   1.440E+01   5.450E+13   3.310E+01   1.726E-01
   1.478E+01   5.159E+13   3.184E+01   1.661E-01
   1.514E+01   4.884E+13   3.061E+01   1.598E-01
   1.550E+01   4.622E+13   2.941E+01   1.540E-01
   1.585E+01   4.374E+13   2.823E+01   1.484E-01
   1.620E+01   4.140E+13   2.708E+01   1.431E-01
   1.653E+01   3.919E+13   2.598E+01   1.379E-01
   1.685E+01   3.711E+13   2.490E+01   1.330E-01
   1.716E+01   3.515E+13   2.387E+01   1.282E-01
   1.746E+01   3.333E+13   2.289E+01   1.234E-01
   1.775E+01   3.162E+13   2.195E+01   1.190E-01
   1.802E+01   3.003E+13   2.106E+01   1.147E-01
   1.828E+01   2.855E+13   2.022E+01   1.105E-01
   1.853E+01   2.718E+13   1.944E+01   1.067E-01
   1.877E+01   2.587E+13   1.869E+01   1.029E-01
   1.901E+01   2.456E+13   1.793E+01   9.896E-02
   1.925E+01   2.323E+13   1.718E+01   9.525E-02
   1.950E+01   2.191E+13   1.642E+01   9.144E-02
   1.975E+01   2.058E+13   1.568E+01   8.758E-02
   2.000E+01   1.923E+13   1.495E+01   8.404E-02
   2.026E+01   1.787E+13   1.423E+01   8.066E-02
   2.052E+01   1.650E+13   1.353E+01   7.739E-02
   2.078E+01   1.511E+13   1.287E+01   7.437E-02
   2.105E+01   1.372E+13   1.224E+01   7.207E-02
   2.132E+01   1.232E+13   1.167E+01   7.024E-02
   2.159E+01   1.097E+13   1.114E+01   6.895E-02
   2.187E+01   9.668E+12   1.066E+01   6.822E-02
   2.215E+01   8.459E+12   1.022E+01   6.799E-02
   2.243E+01   7.359E+12   9.811E+00   6.809E-02
   2.272E+01   6.376E+12   9.428E+00   6.841E-02
   2.301E+01   5.507E+12   9.063E+00   6.897E-02
   2.331E+01   4.746E+12   8.713E+00   6.961E-02
   2.361E+01   4.081E+12   8.378E+00   7.032E-02
   2.391E+01   3.501E+12   8.057E+00   7.117E-02
   2.421E+01   2.996E+12   7.751E+00   7.220E-02
   2.453E+01   2.557E+12   7.461E+00   7.333E-02
   2.484E+01   2.175E+12   7.189E+00   7.475E-02
   2.516E+01   1.844E+12   6.933E+00   7.666E-02
   2.548E+01   1.559E+12   6.695E+00   7.878E-02
   2.581E+01   1.314E+12   6.476E+00   8.130E-02
   2.614E+01   1.105E+12   6.275E+00   8.415E-02
   2.648E+01   9.260E+11   6.092E+00   8.744E-02
   2.682E+01   7.738E+11   5.925E+00   9.151E-02
   2.716E+01   6.451E+11   5.773E+00   9.596E-02
   2.751E+01   5.367E+11   5.636E+00   1.011E-01
   2.786E+01   4.459E+11   5.516E+00   1.070E-01
   2.822E+01   3.702E+11   5.410E+00   1.135E-01
   2.858E+01   3.069E+11   5.317E+00   1.210E-01
   2.895E+01   2.543E+11   5.237E+00   1.294E-01
   2.932E+01   2.108E+11   5.169E+00   1.386E-01
   2.969E+01   1.746E+11   5.112E+00   1.489E-01
   3.007E+01   1.445E+11   5.062E+00   1.605E-01
   3.046E+01   1.196E+11   5.023E+00   1.732E-01
   3.085E+01   9.931E+10   4.999E+00   1.873E-01
   3.125E+01   8.246E+10   4.987E+00   2.028E-01
   3.165E+01   6.835E+10   4.984E+00   2.198E-01
   3.205E+01   5.663E+10   4.998E+00   2.388E-01
   3.247E+01   4.679E+10   5.032E+00   2.598E-01
   3.288E+01   3.841E+10   5.070E+00   2.827E-01
   3.330E+01   3.166E+10   5.113E+00   3.058E-01
   3.373E+01   2.646E+10   5.150E+00   3.275E-01
   3.416E+01   2.230E+10   5.162E+00   3.467E-01
   3.460E+01   1.902E+10   5.154E+00   3.632E-01
   3.505E+01   1.658E+10   5.138E+00   3.770E-01
   3.549E+01   1.470E+10   5.098E+00   3.872E-01
   3.595E+01   1.309E+10   5.053E+00   3.967E-01
   3.641E+01   1.166E+10   5.016E+00   4.063E-01
   3.688E+01   1.073E+10   4.946E+00   4.113E-01
   3.735E+01   9.952E+09   4.882E+00   4.156E-01
   3.783E+01   8.950E+09   4.849E+00   4.240E-01
   3.832E+01   8.277E+09   4.795E+00   4.288E-01
   3.881E+01   7.852E+09   4.723E+00   4.304E-01
   3.930E+01   7.466E+09   4.652E+00   4.321E-01
   3.981E+01   7.060E+09   4.584E+00   4.346E-01
   4.032E+01   6.432E+09   4.553E+00   4.416E-01
   4.087E+01   5.967E+09   4.500E+00   4.455E-01
   4.149E+01   5.744E+09   4.415E+00   4.464E-01
   4.218E+01   5.369E+09   4.337E+00   4.488E-01
   4.295E+01   4.966E+09   4.264E+00   4.528E-01
   4.380E+01   4.605E+09   4.178E+00   4.562E-01
   4.474E+01   4.295E+09   4.090E+00   4.590E-01
   4.577E+01   3.944E+09   3.991E+00   4.628E-01
   4.689E+01   3.610E+09   3.900E+00   4.671E-01
   4.811E+01   3.322E+09   3.793E+00   4.705E-01
   4.944E+01   3.078E+09   3.685E+00   4.730E-01
   5.084E+01   2.831E+09   3.576E+00   4.761E-01
   5.228E+01   2.578E+09   3.478E+00   4.804E-01
   5.377E+01   2.384E+09   3.373E+00   4.829E-01
   5.529E+01   2.234E+09   3.269E+00   4.843E-01
   5.686E+01   2.062E+09   3.163E+00   4.869E-01
   5.848E+01   1.892E+09   3.079E+00   4.899E-01
   6.014E+01   1.757E+09   2.966E+00   4.908E-01
   6.184E+01   1.647E+09   2.881E+00   4.920E-01
   6.360E+01   1.480E+09   2.776E+00   4.941E-01
   6.540E+01   1.383E+09   2.705E+00   4.950E-01
   6.726E+01   1.254E+09   2.590E+00   4.959E-01
   6.917E+01   1.191E+09   2.529E+00   4.963E-01
   7.113E+01   1.019E+09   2.366E+00   4.967E-01
   7.315E+01   8.284E+08   2.201E+00   4.966E-01
   7.522E+01   4.316E+08   1.733E+00   4.958E-01
   7.736E+01   1.660E+08   9.403E-01   4.955E-01
   7.955E+01   1.292E+08   8.187E-01   4.954E-01
   8.181E+01   1.228E+08   8.107E-01   4.958E-01
   8.413E+01   1.150E+08   8.022E-01   4.959E-01
   8.652E+01   1.123E+08   7.994E-01   4.962E-01
   8.897E+01   1.057E+08   7.885E-01   4.964E-01
   9.150E+01   1.027E+08   7.844E-01   4.967E-01
   9.409E+01   9.748E+07   7.756E-01   4.969E-01
   9.676E+01   9.540E+07   7.709E-01   4.972E-01
   9.951E+01   9.076E+07   7.634E-01   4.974E-01
   1.023E+02   8.806E+07   7.588E-01   4.977E-01
   1.052E+02   8.367E+07   7.501E-01   4.979E-01
   1.082E+02   8.186E+07   7.444E-01   4.982E-01
   1.113E+02   7.783E+07   7.370E-01   4.984E-01
   1.145E+02   7.513E+07   7.309E-01   4.987E-01
   1.177E+02   7.200E+07   7.242E-01   4.989E-01
   1.210E+02   6.957E+07   7.195E-01   4.992E-01
   1.245E+02   6.587E+07   7.104E-01   4.994E-01
   1.280E+02   6.456E+07   7.053E-01   4.997E-01
   1.316E+02   6.090E+07   6.966E-01   4.998E-01
   1.354E+02   5.881E+07   6.530E-01   5.000E-01
   1.392E+02   5.705E+07   6.515E-01   5.000E-01
   1.432E+02   5.425E+07   6.491E-01   5.000E-01
   1.472E+02   5.280E+07   6.478E-01   5.000E-01
   1.514E+02   5.004E+07   6.452E-01   5.000E-01
   1.557E+02   4.878E+07   6.440E-01   5.000E-01
   1.601E+02   4.627E+07   6.415E-01   5.000E-01
   1.647E+02   4.507E+07   6.402E-01   5.000E-01
   1.693E+02   4.266E+07   6.377E-01   5.000E-01
   1.741E+02   4.154E+07   6.365E-01   5.000E-01
   1.791E+02   3.936E+07   6.340E-01   5.000E-01
   1.842E+02   3.840E+07   6.328E-01   5.000E-01
   1.894E+02   3.652E+07   6.305E-01   5.000E-01
   1.948E+02   3.570E+07   6.295E-01   5.000E-01
   2.003E+02   3.413E+07   6.275E-01   5.000E-01
   2.060E+02   3.341E+07   6.265E-01   5.000E-01
