   R [km]      D [g/ccm]   T [mev]     Y        
   1.167E-01   3.739E+14   1.350E+01   2.700E-01
   3.500E-01   3.733E+14   1.346E+01   2.779E-01
   5.833E-01   3.736E+14   1.323E+01   2.762E-01
   9.272E-01   3.719E+14   1.315E+01   2.769E-01
   1.302E+00   3.696E+14   1.301E+01   2.772E-01
   1.545E+00   3.677E+14   1.295E+01   2.776E-01
   1.703E+00   3.663E+14   1.290E+01   2.775E-01
   1.806E+00   3.653E+14   1.287E+01   2.775E-01
   1.872E+00   3.647E+14   1.284E+01   2.775E-01
   1.925E+00   3.642E+14   1.282E+01   2.774E-01
   1.980E+00   3.636E+14   1.280E+01   2.774E-01
   2.036E+00   3.630E+14   1.278E+01   2.773E-01
   2.094E+00   3.623E+14   1.276E+01   2.773E-01
   2.153E+00   3.616E+14   1.274E+01   2.772E-01
   2.214E+00   3.609E+14   1.272E+01   2.772E-01
   2.277E+00   3.602E+14   1.270E+01   2.771E-01
   2.342E+00   3.594E+14   1.268E+01   2.771E-01
   2.408E+00   3.585E+14   1.265E+01   2.770E-01
   2.476E+00   3.576E+14   1.263E+01   2.769E-01
   2.547E+00   3.566E+14   1.260E+01   2.768E-01
   2.619E+00   3.556E+14   1.257E+01   2.768E-01
   2.693E+00   3.546E+14   1.254E+01   2.767E-01
   2.770E+00   3.534E+14   1.251E+01   2.767E-01
   2.848E+00   3.522E+14   1.248E+01   2.766E-01
   2.929E+00   3.510E+14   1.245E+01   2.765E-01
   3.012E+00   3.496E+14   1.241E+01   2.765E-01
   3.098E+00   3.482E+14   1.237E+01   2.764E-01
   3.186E+00   3.468E+14   1.231E+01   2.763E-01
   3.276E+00   3.453E+14   1.223E+01   2.762E-01
   3.369E+00   3.438E+14   1.214E+01   2.760E-01
   3.465E+00   3.422E+14   1.205E+01   2.758E-01
   3.563E+00   3.403E+14   1.201E+01   2.757E-01
   3.664E+00   3.382E+14   1.201E+01   2.757E-01
   3.768E+00   3.359E+14   1.202E+01   2.756E-01
   3.875E+00   3.336E+14   1.200E+01   2.755E-01
   3.985E+00   3.312E+14   1.197E+01   2.754E-01
   4.098E+00   3.287E+14   1.192E+01   2.752E-01
   4.214E+00   3.260E+14   1.186E+01   2.751E-01
   4.334E+00   3.232E+14   1.181E+01   2.750E-01
   4.457E+00   3.202E+14   1.174E+01   2.749E-01
   4.583E+00   3.171E+14   1.168E+01   2.747E-01
   4.713E+00   3.138E+14   1.161E+01   2.746E-01
   4.847E+00   3.103E+14   1.154E+01   2.745E-01
   4.984E+00   3.065E+14   1.149E+01   2.744E-01
   5.126E+00   3.026E+14   1.142E+01   2.742E-01
   5.271E+00   2.986E+14   1.133E+01   2.741E-01
   5.421E+00   2.941E+14   1.126E+01   2.740E-01
   5.575E+00   2.896E+14   1.113E+01   2.739E-01
   5.733E+00   2.848E+14   1.099E+01   2.736E-01
   5.896E+00   2.792E+14   1.103E+01   2.738E-01
   6.063E+00   2.740E+14   1.087E+01   2.734E-01
   6.235E+00   2.678E+14   1.087E+01   2.738E-01
   6.412E+00   2.618E+14   1.073E+01   2.734E-01
   6.594E+00   2.551E+14   1.069E+01   2.739E-01
   6.781E+00   2.495E+14   1.027E+01   2.728E-01
   6.973E+00   2.407E+14   1.054E+01   2.740E-01
   7.171E+00   2.346E+14   1.004E+01   2.730E-01
   7.375E+00   2.250E+14   1.028E+01   2.740E-01
   7.584E+00   2.180E+14   9.803E+00   2.733E-01
