# r, rho, v, e
4.3572117544787179E+03 3.6915309378045720E+16 -3.0637135674718313E+04 1.5478796542991356E+33
4.3749034132463858E+03 3.6332009326470864E+16 -3.0958805402724902E+04 1.5153550402446724E+33
4.3925950720140827E+03 3.5760933821744036E+16 -3.1281725548337537E+04 1.4836802300314807E+33
4.4102867307817505E+03 3.5201764288580628E+16 -3.1605889249693311E+04 1.4528287179158624E+33
4.4279783895494184E+03 3.4654192062591124E+16 -3.1931289681191935E+04 1.4227749576725552E+33
4.4456700483171153E+03 3.4117918032424524E+16 -3.2257920053527749E+04 1.3934943231023117E+33
4.4633617070847831E+03 3.3592652296602552E+16 -3.2585773613713191E+04 1.3649630703587034E+33
4.4810533658524801E+03 3.3078113834362004E+16 -3.2914843645099005E+04 1.3371583020011041E+33
4.4987450246201479E+03 3.2574030189885888E+16 -3.3245123467378275E+04 1.3100579326875407E+33
4.5164366833878157E+03 3.2080137169288396E+16 -3.3576606436590890E+04 1.2836406564233298E+33
4.5341283421555127E+03 3.1596178549798972E+16 -3.3909285945114600E+04 1.2578859152886901E+33
4.5518200009231805E+03 3.1121905800585828E+16 -3.4243155421648989E+04 1.2327738695709452E+33
4.5695116596908774E+03 3.0657077814690868E+16 -3.4578208331198010E+04 1.2082853692312400E+33
4.5872033184585453E+03 3.0201460651600192E+16 -3.4914438175037001E+04 1.1844019266408485E+33
4.6048949772262131E+03 2.9754827289954188E+16 -3.5251838490681970E+04 1.1611056905233792E+33
4.6225866359939100E+03 2.9316957389969828E+16 -3.5590402851846658E+04 1.1383794210449348E+33
4.6402782947615779E+03 2.8887637065139944E+16 -3.5930124868393665E+04 1.1162064659958782E+33
4.6579699535292748E+03 2.8466658662797564E+16 -3.6270998186285113E+04 1.0945707380109845E+33
4.6756616122969426E+03 2.8053820553176440E+16 -3.6613016487519672E+04 1.0734566927787745E+33
4.6933532710646105E+03 2.7648926926580252E+16 -3.6956173490072040E+04 1.0528493081915429E+33
