                Time                    D                   S1                   S2                   S3                  tau                    P
  1.559819625532E-01   5.625000000000E-01   1.403837662979E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.184363048509E-01
  1.599694222911E-01   5.625000000000E-01   1.439724800620E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.176294120263E-01
  1.639933994793E-01   5.625000000000E-01   1.475940595314E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.168117314923E-01
  1.679809925537E-01   5.625000000000E-01   1.511828932984E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.160036323805E-01
  1.719683036461E-01   5.625000000000E-01   1.547714732815E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.151949997258E-01
  1.759916336717E-01   5.625000000000E-01   1.583924703046E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.143855187890E-01
  1.799796337922E-01   5.625000000000E-01   1.619816704130E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.135721602384E-01
  1.839673501593E-01   5.625000000000E-01   1.655706151433E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.127644800705E-01
  1.879914658360E-01   5.625000000000E-01   1.691923192524E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.119470720134E-01
  1.919790729164E-01   5.625000000000E-01   1.727811656248E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.111392054237E-01
  1.959666742626E-01   5.625000000000E-01   1.763700068363E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.103298335864E-01
  1.999899961636E-01   5.625000000000E-01   1.799909965472E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.095201823910E-01
  2.039778801828E-01   5.625000000000E-01   1.835800921645E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.087082861048E-01
  2.079658262931E-01   5.625000000000E-01   1.871692436638E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.078994397779E-01
  2.119900998612E-01   5.625000000000E-01   1.907910898751E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.070823997005E-01
  2.159775264051E-01   5.625000000000E-01   1.943797737646E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.062743950114E-01
  2.199653389985E-01   5.625000000000E-01   1.979688050987E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.054649652919E-01
